Focal_region,In_or_out,movement,total
"King County, Washington",Africa,MOVEDIN,2148
"King County, Washington",Asia,MOVEDIN,18930
"King County, Washington",Central America,MOVEDIN,2397
"King County, Washington",Caribbean,MOVEDIN,57
"King County, Washington",Europe,MOVEDIN,4925
"King County, Washington",U.S. Island Areas,MOVEDIN,137
"King County, Washington",Northern America,MOVEDIN,1684
"King County, Washington",Oceania and At Sea,MOVEDIN,1208
"King County, Washington",South America,MOVEDIN,823
"King County, Washington","Dale County, Alabama",MOVEDIN,0
"King County, Washington","Dale County, Alabama",MOVEDOUT,43
"King County, Washington","Dallas County, Alabama",MOVEDIN,17
"King County, Washington","Dallas County, Alabama",MOVEDOUT,0
"King County, Washington","Etowah County, Alabama",MOVEDIN,11
"King County, Washington","Etowah County, Alabama",MOVEDOUT,0
"King County, Washington","Jefferson County, Alabama",MOVEDIN,39
"King County, Washington","Jefferson County, Alabama",MOVEDOUT,0
"King County, Washington","Lee County, Alabama",MOVEDIN,41
"King County, Washington","Lee County, Alabama",MOVEDOUT,0
"King County, Washington","Madison County, Alabama",MOVEDIN,0
"King County, Washington","Madison County, Alabama",MOVEDOUT,90
"King County, Washington","Mobile County, Alabama",MOVEDIN,0
"King County, Washington","Mobile County, Alabama",MOVEDOUT,24
"King County, Washington","Monroe County, Alabama",MOVEDIN,17
"King County, Washington","Monroe County, Alabama",MOVEDOUT,0
"King County, Washington","Montgomery County, Alabama",MOVEDIN,19
"King County, Washington","Montgomery County, Alabama",MOVEDOUT,27
"King County, Washington","Pike County, Alabama",MOVEDIN,80
"King County, Washington","Pike County, Alabama",MOVEDOUT,0
"King County, Washington","Shelby County, Alabama",MOVEDIN,6
"King County, Washington","Shelby County, Alabama",MOVEDOUT,0
"King County, Washington","Tuscaloosa County, Alabama",MOVEDIN,0
"King County, Washington","Tuscaloosa County, Alabama",MOVEDOUT,52
"King County, Washington","Walker County, Alabama",MOVEDIN,0
"King County, Washington","Walker County, Alabama",MOVEDOUT,18
"King County, Washington","Washington County, Alabama",MOVEDIN,0
"King County, Washington","Washington County, Alabama",MOVEDOUT,1
"King County, Washington","Aleutians East Borough, Alaska",MOVEDIN,0
"King County, Washington","Aleutians East Borough, Alaska",MOVEDOUT,41
"King County, Washington","Aleutians West Census Area, Alaska",MOVEDIN,65
"King County, Washington","Aleutians West Census Area, Alaska",MOVEDOUT,91
"King County, Washington","Anchorage Municipality, Alaska",MOVEDIN,669
"King County, Washington","Anchorage Municipality, Alaska",MOVEDOUT,471
"King County, Washington","Dillingham Census Area, Alaska",MOVEDIN,27
"King County, Washington","Dillingham Census Area, Alaska",MOVEDOUT,0
"King County, Washington","Fairbanks North Star Borough, Alaska",MOVEDIN,7
"King County, Washington","Fairbanks North Star Borough, Alaska",MOVEDOUT,59
