Year,Population (millions),Notes
-10000,5,End of last Ice Age, start of agriculture
-5000,20,Early civilizations forming
-3000,60,Mesopotamia, Egypt rising
-2000,100,Bronze Age empires
-1000,120,Iron Age begins
-500,140,Rise of Rome, classical China
1,185,Roman Empire, Han Dynasty
500,190,Fall of Western Rome, early Middle Ages
1000,280,Medieval period, rise of Islamic Golden Age
1200,360,Mongol Empire expansion
1300,400,Pre-Black Death peak
1350,350,Black Death kills tens of millions
1400,370,Recovery after plague
1500,450,European Age of Exploration begins
1600,550,Colonial empires grow
1700,600,Agricultural revolution spreads
1800,1000,Start of Industrial Revolution
1850,1260,Railroads, industrialization
1900,1650,Before World Wars
1950,2500,Post-WWII baby boom
1960,3000,Green Revolution begins
1970,3700,Rapid development in Asia, Africa
1980,4400,Global urbanization increases
1990,5300,Fall of USSR, globalization
2000,6100,Internet era begins
2010,6900,Rise of China, mobile tech
2020,7800,COVID-19 pandemic
2024,8100,Global population stabilizing in some regions
